week	name	t	a	sck	int	ff
16	K. Arrington	3	1	0.0	0	0	
16	W. Hill	3	1	0.0	0	0	
16	D. Smith	3	5	0.0	1	0	
16	C. Upshaw	3	2	1.0	0	0	
16	L. Webb	3	0	0.0	0	0	
16	K. Lewis	2	3	0.0	0	0	
16	J. Smith	2	0	0.0	1	0	
16	Z. Smith	2	1	1.0	0	0	
16	S. Wright	2	1	0.0	0	0	
16	T. Jernigan	1	0	1.0	0	0	
16	Z. Orr	1	0	0.0	0	0	
16	B. Trawick	1	0	0.0	0	0	
16	B. Williams	1	1	0.0	0	0	
16	E. Dumervil	0	2	0.0	0	0	
16	L. Guy	0	2	0.0	0	0	
17	C. Mosley	4	8	1.0	0	0	
17	S. Wright	4	0	0.0	0	0	
17	L. Guy	3	2	1.5	0	0	
17	T. Jernigan	3	3	0.0	0	0	
17	C. Upshaw	3	1	0.0	0	0	
17	E. Dumervil	2	1	0.0	0	0	
17	B. Williams	2	2	0.0	0	0	
17	K. Arrington	1	2	0.0	0	1	
17	K. Lewis	1	2	0.0	0	0	
17	Z. Orr	1	0	0.0	0	0	
17	J. Smith	1	0	0.0	0	0	
17	L. Webb	1	1	0.0	0	0	
17	W. Hill III	0	1	0.0	0	0	
17	Z. Smith	0	2	0.5	0	0	
17	D. Smith	0	3	0.0	0	0	
17	B. Trawick	0	1	0.0	0	0	
17	B. Urban	0	3	0.0	0	0	
