week	name	t	a	sck	int	ff	
15	Z. Brown	1	1	0.0	0	0	
15	P. Cox	1	0	0.0	0	0	
15	D. Jones	1	3	0.0	0	0	
15	B. Webb	1	0	0.0	0	0	
15	A. Blackson	0	1	0.5	0	0	
15	A. Woods	0	1	0.0	0	0	
16	M. Griffin	9	2	0.0	0	0	
16	A. Williamson	5	2	0.0	0	0	
16	D. Bass	4	1	0.0	0	0	
16	Z. Brown	4	0	0.0	0	0	
16	J. Casey	4	2	0.0	0	0	
16	D. Jones	3	2	0.0	0	0	
16	D. Searcy	3	1	0.0	0	0	
16	A. Blackson	2	0	0.0	0	0	
16	P. Cox	2	0	0.0	0	0	
16	B. Orakpo	2	2	0.0	0	0	
16	K. Klug	1	0	0.0	0	0	
16	C. Sensabaugh	1	0	0.0	0	0	
16	J. Tavai	1	0	1.0	0	1	
16	S. Hill	0	1	0.0	0	0	
16	A. Woods	0	1	0.0	0	0	
16	W. Woodyard	0	2	0.0	0	0	
17	A. Williamson	8	1	0.0	0	0	
17	Z. Brown	7	1	0.0	0	0	
17	C. Sensabaugh	5	2	0.0	0	0	
17	D. Bass	3	3	1.0	0	0	
17	M. Griffin	3	1	0.0	0	0	
17	B. Webb	3	0	0.0	0	0	
17	D. Jones	2	1	0.0	0	0	
17	W. Woodyard	2	2	0.0	0	0	
17	J. Casey	1	1	0.0	0	0	
17	P. Cox	1	0	0.0	0	0	
17	M. Huff	1	0	0.0	0	0	
17	B. Orakpo	1	2	0.0	0	0	
17	D. Searcy	1	2	0.0	1	0	
17	D. Stafford	1	0	0.0	0	0	
17	A. Woods	1	0	0.0	0	0	
17	A. Blackson	0	1	0.0	0	0	
17	K. Klug	0	1	0.0	0	0	
